name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,loan_approved_label
Natalie Hawkins,Reynoldschester,40589,351,22422,27,25.0,False,Rejected
Adrian Gibbs,Leroystad,72219,801,30038,21,75.0,True,Approved
Alyssa Hayes,Kaylabury,109730,496,34188,38,50.0,False,Rejected
Carlos Vincent,Jonathanfurt,49442,690,9572,40,60.0,True,Approved
Jason Haynes,North Randymouth,38609,655,16001,3,30.0,False,Rejected
Timothy Coleman,North Gregory,46540,601,12864,28,45.0,False,Rejected
Stanley Benson,Collinsberg,66046,623,41191,4,40.0,False,Rejected
Brian Thompson,North Nathanhaven,111830,557,35957,33,50.0,False,Rejected
Wendy Smith,North Thomashaven,112978,705,32535,31,75.0,True,Approved
Bethany Baxter MD,Scotttown,106724,579,30236,8,45.0,False,Rejected
Jennifer Baker MD,Jonesville,101874,468,4504,13,60.0,True,Approved
Crystal Wolf,Petersonchester,123343,654,46641,37,65.0,True,Approved
Sharon Patel,Spencerburgh,72622,677,18349,32,65.0,True,Approved
Carl Powers,New Mark,79925,559,24725,17,45.0,False,Rejected
Michael Patterson,Deniseport,108301,778,23186,9,85.0,True,Approved
Sarah Jones,East Eric,99541,758,19708,34,85.0,True,Approved
Nancy Rowland,South Samuelfurt,68652,511,16918,18,45.0,False,Rejected
Meghan Jackson,North James,89469,688,45897,10,65.0,True,Approved
Stephanie Gomez,Lake Amyland,96263,696,17183,2,65.0,True,Approved
Miguel Lee,Lynchbury,109354,632,48132,34,60.0,True,Approved
Brianna Hanson,West Melanie,86387,612,1774,2,60.0,True,Approved
Sharon French,New Cesarfurt,42999,751,32075,32,60.0,True,Approved
Taylor Kirby,Vanessaview,133952,560,17671,23,55.0,False,Rejected
Jeffrey Petersen,Port Amanda,121983,670,46117,4,65.0,True,Approved
Manuel Cole,North Darlenemouth,44996,546,43182,38,25.0,False,Rejected
Joshua Horne,Morganfurt,141777,735,39425,33,75.0,True,Approved
Brittney Tanner,West Victoriamouth,115814,792,38930,8,80.0,True,Approved
Ashley Franco,West Nicholas,115316,337,6868,38,60.0,True,Approved
Tracey Page,West David,145042,508,37486,14,50.0,False,Rejected
Carla Young,East Theresaside,130789,811,2971,25,100.0,True,Approved
Brooke Keith,East Zachary,102264,827,4235,36,100.0,True,Approved
Christy Thomas,Port Darylburgh,124481,535,12516,0,40.0,False,Rejected
Michael Cruz,Grayton,143441,330,34287,40,55.0,False,Rejected
Shawna Gillespie,Espinozaville,58183,311,36896,5,30.0,False,Rejected
Chelsey Reyes,West Bryanbury,86370,596,21927,15,60.0,True,Approved
Angela Dixon,Port Timothychester,89186,441,13778,20,50.0,False,Rejected
Sean Chapman,North Adamtown,146403,768,27494,11,90.0,True,Approved
Robert Ramirez,Stephanieshire,59949,688,29674,4,50.0,False,Rejected
Steven Price,Christophertown,84239,702,25311,19,70.0,True,Approved
Michelle Padilla,West Aaron,74424,757,36497,20,70.0,True,Approved
Lucas Nielsen,Kelseyfort,138451,342,35261,39,50.0,False,Rejected
Raymond Wolf,Barnesborough,89441,601,37304,9,50.0,False,Rejected
Nicholas Cunningham,Mooremouth,82262,315,35600,14,40.0,False,Rejected
Kristin Meyer,South Allisonfort,84524,374,24860,1,30.0,False,Rejected
Kevin White,Anthonyshire,125631,765,25710,1,75.0,True,Approved
Cynthia Johnson,East Ryanstad,42463,765,42357,33,60.0,True,Approved
Sandra Lopez,West Tiffanyside,70966,305,38462,23,35.0,False,Rejected
Teresa Bowers,Matthewmouth,85936,420,31183,31,45.0,False,Rejected
Michael Lambert,South Kenneth,70963,489,5890,6,45.0,False,Rejected
Rebecca Newman,West Christopher,117177,712,10028,27,85.0,True,Approved
Christopher Morrison,Cookshire,63408,376,30443,3,25.0,False,Rejected
Sierra Gentry,Jenniferstad,79060,572,9643,6,45.0,False,Rejected
Hannah Carter,Basston,50006,626,29515,32,50.0,False,Rejected
Ryan Thomas,Tylertown,120023,318,49124,3,35.0,False,Rejected
James Schaefer,Robertton,92163,770,12251,13,85.0,True,Approved
Diana Lin,New Frank,38799,635,48259,17,40.0,False,Rejected
Brandon Meyer,East Haley,41957,763,16752,5,60.0,True,Approved
Jason Price,Adamland,139022,360,24031,35,55.0,False,Rejected
Nicole Brown,New Nathantown,41188,482,31397,6,20.0,False,Rejected
